"Training and Placement Cell, MANIT, BHOPAL",,,,,,,,,,,,,,,
Session 2024-25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Recruiter,Offer Type,,,,,,,,,,,,,PKG (LPA)
,,,Civil,EE,ME,ECE,CSE,MDS,MME,Chem,B.Tech.,B.Arch.,B.Plan,TOTAL,
October 2024,Qualcomm (HW),6M,,,,1,,,,,1,,,1,₹28.75
October 2024,DeltaX,FTE,0,0,0,0,0,0,0,0,0,,,0,₹7.00
October 2024,NXP Semiconductors,6M,,,,1,,,,,1,,,1,₹23.00
October 2024,Porter,6M,,1,,2,3,1,,,7,,,7,₹17.00
October 2024,Nutanix,6M,,1,,1,3,,,,5,,,5,₹52.00
October 2024,Gramener,FTE,,,,3,2,1,,,6,,,6,₹12.00
October 2024,Practo,6M,,0,,5,,,,,5,,,5,₹12.00
October 2024,Qbit Labs,6M + FTE,,,,3,,,,,3,,,3,₹9.33
October 2024,Sedamac,6M,,2,,,,,,,2,,,2,₹16.00
October 2024,Datoms,6M,,0,,0,0,,,,0,,,0,₹12.00
October 2024,TCS R&I,FTE,0,0,0,0,0,0,0,0,0,,,0,₹9.00
October 2024,Quriousbit Games,6M,,,,,1,,,,1,,,1,₹10.00
November 2024,Varroc,11M,,,,,,,,,0,,,0,₹12.50
November 2024,FIS Global,6M + FTE,,,,,,,,,0,,,0,₹8.00
November 2024,Carriers,FTE,,1,3,,,,,,4,,,4,₹8.50
November 2024,Caterpillar,FTE,,,3,,,,,,3,,,3,₹13.24
November 2024,Samsung,FTE,,1,,1,5,0,,,7,,,7,₹15.50
November 2024,InfoEdge,FTE,,,,3,1,0,,,4,,,4,₹14.50
November 2024,Micron,FTE,,0,3,1,,,,,4,,,4,₹13.17
November 2024,BIS,6M,,0,1,,,,,0,1,,,1,
November 2024,Siemens GET,FTE,,2,0,0,,,,,2,,,2,₹6.00
November 2024,Rashmi Metaliks,6M + FTE,0,0,5,2,2,,3,,12,,,12,₹8.40
November 2024,TCS NQT ( Ninja ),FTE,1,1,2,,3,,,3,10,,,10,₹3.36
November 2024,TCS NQT ( Digital ),FTE,,2,,,,1,,,3,,,3,₹7.00
November 2024,TCS NQT ( Prime ),FTE,,1,,,,,,,1,,,1,₹9.00
November 2024,Honda,6M,,1,3,,,,0,0,4,,,4,₹8.40
November 2024,InfoObjects,6M + FTE,,1,,0,0,0,,,1,,,1,₹7.00
November 2024,ZScaler,6M,,0,,1,0,0,,,1,,,1,₹27.00
November 2024,Warner Bros Discovery,6M + FTE,,,,,3,1,,,4,,,4,₹25.00
November 2024,Nvidia (HW),6M,,,,0,,,,,0,,,0,₹31.00
November 2024,Nvidia (SW),6M,,0,,1,0,0,,,1,,,1,₹31.00
November 2024,L&T,FTE,18,,6,,,,,,24,11,,35,₹6.57
November 2024,Samsung,6M,,1,,3,2,1,,,7,,,7,₹15.50
November 2024,Amazon,PPO,,,,1,2,2,,,5,,,5,₹50.00
November 2024,Cimpress,6M,,,,,3,4,,,7,,,7,₹12.00
November 2024,Planful,6M,,,,,1,,,,1,,,1,₹8.73
December 2024,Intellect Design Arena,6M + FTE,,,,,0,,,,0,,,0,₹4.00
